Date,Close/Last,Volume,Open,High,Low
"45,595.00",230.10,"47,070,910.00",232.61,233.47,229.55
"45,594.00",233.67,"35,417,250.00",233.10,234.33,232.32
"45,593.00",233.40,"36,087,130.00",233.32,234.73,232.55
"45,590.00",231.41,"38,802,300.00",229.74,233.22,229.57
"45,589.00",230.57,"31,109,500.00",229.98,230.82,228.41
"45,588.00",230.76,"52,286,980.00",234.08,235.14,227.76
"45,587.00",235.86,"38,846,580.00",233.89,236.22,232.60
"45,586.00",236.48,"36,254,470.00",234.45,236.85,234.45
"45,583.00",235.00,"46,431,470.00",236.18,236.18,234.01
"45,582.00",232.15,"32,993,810.00",233.43,233.85,230.52
"45,581.00",231.78,"34,082,240.00",231.60,232.12,229.84
"45,580.00",233.85,"64,751,370.00",233.61,237.49,232.37
"45,579.00",231.30,"39,882,090.00",228.70,231.73,228.60
"45,576.00",227.55,"31,759,190.00",229.30,229.41,227.34
"45,575.00",229.04,"28,183,540.00",227.78,229.50,227.17
"45,574.00",229.54,"33,591,090.00",225.23,229.75,224.83
"45,573.00",225.77,"31,855,690.00",224.30,225.98,223.25
"45,572.00",221.69,"39,505,350.00",224.50,225.69,221.33
"45,569.00",226.80,"37,345,100.00",227.90,228.00,224.13
"45,568.00",225.67,"34,044,160.00",225.14,226.81,223.32
"45,567.00",226.78,"32,880,610.00",225.89,227.37,223.02
"45,566.00",226.21,"63,285,050.00",229.52,229.65,223.74
"45,565.00",233.00,"54,793,390.00",230.04,233.00,229.65
"45,562.00",227.79,"34,025,970.00",228.46,229.52,227.30
"45,561.00",227.52,"36,636,710.00",227.30,228.50,225.41
"45,560.00",226.37,"42,308,720.00",224.93,227.29,224.02
"45,559.00",227.37,"43,556,070.00",228.65,229.35,225.73
"45,558.00",226.47,"54,146,020.00",227.34,229.45,225.81
"45,555.00",228.20,"318,679,900.00",229.97,233.09,227.62
"45,554.00",228.87,"66,781,320.00",224.99,229.82,224.63
"45,553.00",220.69,"59,894,930.00",217.55,222.71,217.54
"45,552.00",216.79,"45,519,340.00",215.75,216.90,214.50
"45,551.00",216.32,"59,357,430.00",216.54,217.22,213.92
"45,548.00",222.50,"36,766,620.00",223.58,224.04,221.91
"45,547.00",222.77,"37,498,230.00",222.50,223.55,219.82
"45,546.00",222.66,"44,587,070.00",221.46,223.09,217.89
"45,545.00",220.11,"51,591,030.00",218.92,221.48,216.73
"45,544.00",220.91,"67,179,970.00",220.82,221.27,216.71
"45,541.00",220.82,"48,423,010.00",223.95,225.24,219.77
"45,540.00",222.38,"36,615,400.00",221.63,225.48,221.52
"45,539.00",220.85,"43,840,200.00",221.66,221.78,217.48
"45,538.00",222.77,"50,190,570.00",228.55,229.00,221.17
"45,534.00",229.00,"52,990,770.00",230.19,230.40,227.48
"45,533.00",229.79,"51,906,300.00",230.10,232.92,228.88
"45,532.00",226.49,"38,052,170.00",227.92,229.86,225.68
"45,531.00",228.03,"35,934,560.00",226.00,228.85,224.89
"45,530.00",227.18,"30,602,210.00",226.76,227.28,223.89
"45,527.00",226.84,"38,677,250.00",225.66,228.22,224.33
"45,526.00",224.53,"43,695,320.00",227.79,228.34,223.90
"45,525.00",226.40,"34,765,480.00",226.52,227.98,225.05
"45,524.00",226.51,"30,299,030.00",225.77,227.17,225.45
"45,523.00",225.89,"40,687,810.00",225.72,225.99,223.04
"45,520.00",226.05,"44,340,240.00",223.92,226.83,223.65
"45,519.00",224.72,"46,414,010.00",224.60,225.35,222.76
"45,518.00",221.72,"41,960,570.00",220.57,223.03,219.70
"45,517.00",221.27,"44,155,330.00",219.01,221.89,219.01
"45,516.00",217.53,"38,028,090.00",216.07,219.51,215.60
"45,513.00",216.24,"42,201,650.00",212.10,216.78,211.97
"45,512.00",213.31,"47,161,150.00",213.11,214.20,208.83
"45,511.00",209.82,"63,516,420.00",206.90,213.64,206.39
"45,510.00",207.23,"69,660,490.00",205.30,209.99,201.07
"45,509.00",209.27,"119,548,600.00",199.09,213.50,196.00
"45,506.00",219.86,"105,568,600.00",219.15,225.60,217.71
"45,505.00",218.36,"62,501,000.00",224.37,224.48,217.02
"45,504.00",222.08,"50,036,260.00",221.44,223.82,220.63
"45,503.00",218.80,"41,643,840.00",219.19,220.33,216.12
"45,502.00",218.24,"36,311,780.00",216.96,219.30,215.75
"45,499.00",217.96,"41,601,350.00",218.70,219.49,216.01
"45,498.00",217.49,"51,391,200.00",218.93,220.85,214.62
"45,497.00",218.54,"61,777,580.00",224.00,224.80,217.13
"45,496.00",225.01,"39,960,260.00",224.37,226.94,222.68
"45,495.00",223.96,"48,201,840.00",227.01,227.78,223.09
"45,492.00",224.31,"49,151,450.00",224.82,226.80,223.28
"45,491.00",224.18,"66,034,590.00",230.28,230.44,222.27
"45,490.00",228.88,"57,345,880.00",229.45,231.46,226.64
"45,489.00",234.82,"43,234,280.00",235.00,236.27,232.33
"45,488.00",234.40,"62,631,250.00",236.48,237.23,233.09
"45,485.00",230.54,"53,046,530.00",228.92,232.64,228.68
"45,484.00",227.57,"64,710,620.00",231.39,232.39,225.77
"45,483.00",232.98,"62,627,690.00",229.30,233.08,229.25
"45,482.00",228.68,"48,169,820.00",227.93,229.40,226.37
"45,481.00",227.82,"59,085,860.00",227.09,227.85,223.25
"45,478.00",226.34,"60,412,410.00",221.65,226.45,221.65
"45,476.00",221.55,"37,369,800.00",220.00,221.55,219.03
"45,475.00",220.27,"58,046,180.00",216.15,220.38,215.10
"45,474.00",216.75,"60,402,930.00",212.09,217.51,211.92
"45,471.00",210.62,"82,542,720.00",215.77,216.07,210.30
"45,470.00",214.10,"49,772,710.00",214.69,215.74,212.35
"45,469.00",213.25,"66,213,190.00",211.50,214.86,210.64
"45,468.00",209.07,"56,713,870.00",209.15,211.38,208.61
"45,467.00",208.14,"80,727,010.00",207.72,212.70,206.59
"45,464.00",207.49,"246,421,400.00",210.39,211.89,207.11
"45,463.00",209.68,"86,172,450.00",213.93,214.24,208.85
"45,461.00",214.29,"79,943,250.00",217.59,218.63,213.00
"45,460.00",216.67,"93,728,300.00",213.37,218.95,212.72
"45,457.00",212.49,"70,122,750.00",213.85,215.17,211.30
"45,456.00",214.24,"97,862,730.00",214.74,216.75,211.60
"45,455.00",213.07,"198,134,300.00",207.37,220.20,206.90
"45,454.00",207.15,"172,373,300.00",193.65,207.16,193.63
"45,453.00",193.12,"97,262,080.00",196.90,197.30,192.15
"45,450.00",196.89,"53,103,910.00",194.65,196.94,194.14
"45,449.00",194.48,"41,181,750.00",195.69,196.50,194.17
"45,448.00",195.87,"54,156,790.00",195.40,196.90,194.87
"45,447.00",194.35,"47,471,450.00",194.64,195.32,193.03
"45,446.00",194.03,"50,080,540.00",192.90,194.99,192.52
"45,443.00",192.25,"75,158,280.00",191.44,192.57,189.91
"45,442.00",191.29,"49,947,940.00",190.76,192.18,190.63
"45,441.00",190.29,"53,068,020.00",189.61,192.25,189.51
"45,440.00",189.99,"52,280,050.00",191.51,193.00,189.10
"45,436.00",189.98,"36,326,980.00",188.82,190.58,188.04
"45,435.00",186.88,"51,005,920.00",190.98,191.00,186.63
"45,434.00",190.90,"34,648,550.00",192.27,192.82,190.27
"45,433.00",192.35,"42,309,400.00",191.09,192.73,190.92
"45,432.00",191.04,"44,361,280.00",189.33,191.92,189.01
"45,429.00",189.87,"41,282,930.00",189.51,190.81,189.18
"45,428.00",189.84,"52,845,230.00",190.47,191.10,189.66
"45,427.00",189.72,"70,399,990.00",187.91,190.65,187.37
"45,426.00",187.43,"52,393,620.00",187.51,188.30,186.29
"45,425.00",186.28,"72,044,810.00",185.44,187.10,184.62
"45,422.00",183.05,"50,759,500.00",184.90,185.09,182.13
